2074.77	46.5
2077.26	44
2079.74	48
2082.22	53
2084.7	47
2087.17	52
2089.65	50.5
2092.13	48
2094.6	48.5
2097.08	54
2099.55	48.5
2102.02	47.5
2104.5	50
2106.97	51
2109.44	51
2111.91	54
2114.38	43
2116.84	57.5
2119.31	51.5
2121.78	53.5
2124.24	50.5
2126.71	46.5
2129.17	52.5
2131.64	47
2134.1	52
2136.56	51
2139.02	54.5
2141.48	54.5
2143.94	52.5
2146.39	48.5
2148.85	46
2151.31	46.5
2153.76	45.5
2156.22	50.5
2158.67	49
2161.13	46.5
2163.58	52
2166.03	48
2168.48	47
2170.93	57
2173.38	45.5
2175.83	54
2178.27	49
2180.72	52
2183.16	51
2185.61	49
2188.05	49.5
2190.49	50.5
2192.94	46
2195.38	45
2197.82	40.5
2200.26	48
2202.7	51
2205.13	46.5
2207.57	51.5
2210.01	49
2212.44	46
2214.88	42.5
2217.31	51
2219.74	49
2222.18	47
2224.61	50.5
2227.04	45
2229.47	48.5
2231.9	42
2234.32	45
2236.75	45.5
2239.18	49
2241.6	46
2244.03	41
2246.45	45.5
2248.87	45
2251.3	43.5
2253.72	50
2256.14	45.5
2258.56	53
2260.98	40
2263.39	42
2265.81	44
2268.23	47.5
2270.64	52
2273.06	48
2275.47	46
2277.88	49
2280.3	49
2282.71	45
2285.12	45
2287.53	45.5
2289.94	42
2292.34	45.5
2294.75	45
2297.16	42
2299.56	52.5
2301.97	37
2304.37	46
2306.78	50.5
2309.18	51.5
2311.58	51.5
2313.98	44
2316.38	40.5
2318.78	47
2321.18	48
2323.58	46.5
2325.97	55
2328.37	46
2330.76	43
2333.16	47
2335.55	44
2337.94	45.5
2340.33	48.5
2342.73	47
2345.12	44
2347.51	45
2349.89	44.5
2352.28	52.5
2354.67	43.5
2357.06	42.5
2359.44	48
2361.82	40
2364.21	49.5
2366.59	48
2368.97	44
2371.35	45
2373.73	42
2376.11	45.5
2378.49	45
2380.87	42.5
2383.25	52
2385.62	48
2388	39.5
2390.37	45
2392.75	50
2395.12	39
2397.49	51
2399.86	47
2402.23	46.5
2404.6	50
2406.97	44
2409.34	47.5
2411.71	43
2414.08	44
2416.44	44.5
2418.81	46
2421.17	51.5
2423.53	45
2425.9	48
2428.26	46.5
2430.62	56
2432.98	59
2435.34	50
2437.7	53
2440.05	52.5
2442.41	61.5
2444.77	67
2447.12	69
2449.48	69
2451.83	72
2454.18	77
2456.54	79
2458.89	82.5
2461.24	83.5
2463.59	74
2465.94	82.5
2468.28	80
2470.63	72.5
2472.98	76.5
2475.32	70.5
2477.67	68
2480.01	70
2482.36	63
2484.7	58
2487.04	56
2489.38	61
2491.72	52
2494.06	57
2496.4	57
2498.74	65
2501.07	61.5
2503.41	58
2505.75	58.5
2508.08	55.5
2510.41	60
2512.75	55
2515.08	54
2517.41	53.5
2519.74	52
2522.07	56
2524.4	52.5
2526.73	55
2529.05	59
2531.38	49
2533.71	51
2536.03	59
2538.36	57
2540.68	55
2543	55
2545.32	50
2547.64	55
2549.96	53.5
2552.28	55
2554.6	53.5
2556.92	52.5
2559.24	52
2561.55	51
2563.87	51.5
2566.18	53.5
2568.5	53
2570.81	52
2573.12	61.5
2575.44	54.5
2577.75	47
2580.06	60
2582.37	56.5
2584.67	61
2586.98	55
2589.29	58
2591.59	56
2593.9	61
2596.2	60.5
2598.51	58
2600.81	51
2603.11	60
2605.41	67.5
2607.71	65.5
2610.01	64.5
2612.31	62.5
2614.61	61
2616.91	68
2619.2	69.5
2621.5	70.5
2623.8	69
2626.09	81.5
2628.38	78.5
2630.67	85
2632.97	86
2635.26	103.5
2637.55	98
2639.84	108
2642.13	122.5
2644.42	122
2646.7	128.5
2648.99	150
2651.27	175.5
2653.56	193
2655.84	217
2658.13	245.5
2660.41	285
2662.69	333
2664.97	382
2667.25	473
2669.53	526.5
2671.81	575
2674.09	651
2676.36	707.5
2678.64	738
2680.92	795.5
2683.19	805
2685.46	783
2687.74	762
2690.01	750
2692.28	710
2694.55	656
2696.82	623
2699.09	556
2701.36	517.5
2703.63	456.5
2705.89	403
2708.16	357
2710.43	325.5
2712.69	300.5
2714.95	265
2717.22	229.5
2719.48	205
2721.74	194
2724	176.5
2726.26	157
2728.52	147.5
2730.78	137
2733.04	134
2735.29	121
2737.55	109
2739.81	98.5
2742.06	88
2744.31	81
2746.57	80
2748.82	78
2751.07	72.5
2753.32	76.5
2755.57	69.5
2757.82	65
2760.07	65.5
2762.32	66.5
2764.56	56
2766.81	55.5
2769.06	56
2771.3	49
2773.54	55
2775.79	50
2778.03	62.5
2780.27	60
2782.51	53
2784.75	50
2786.99	49
2789.23	49.5
2791.47	48
2793.7	52
2795.94	45.5
2798.18	47
2800.41	53
2802.64	42
2804.88	44.5
2807.11	43.5
2809.34	49.5
2811.57	51
2813.8	43
2816.03	35
2818.26	46
2820.49	46
2822.71	49
2824.94	47
2827.17	44.5
2829.39	45
2831.61	41
2833.84	44
2836.06	45.5
2838.28	47
2840.5	48.5
2842.72	45
2844.94	43
2847.16	47
2849.38	42
2851.6	41
2853.81	47
2856.03	44.5
2858.24	41
2860.46	46.5
2862.67	43.5
2864.88	40
2867.09	46.5
2869.31	39
2871.52	42.5
2873.73	42.5
2875.94	50
2878.14	46
2880.35	44.5
2882.56	45.5
2884.76	45
2886.97	49
2889.17	47.5
2891.38	51
2893.58	48.5
2895.78	48
2897.98	56.5
2900.18	50
2902.38	43
2904.58	48
2906.78	50.5
2908.98	51.5
2911.17	48.5
2913.37	51
2915.56	49
2917.76	47
2919.95	53
2922.15	50
2924.34	52.5
2926.53	58
2928.72	52
2930.91	54
2933.1	56
2935.29	52
2937.48	55
2939.66	59
2941.85	58
2944.03	52
2946.22	59.5
2948.4	55.5
2950.59	59
2952.77	55
2954.95	52.5
2957.13	49
2959.31	51
2961.49	48
2963.67	49.5
2965.85	53
2968.03	52.5
2970.2	44
2972.38	47
2974.55	49
2976.73	45.5
2978.9	44.5
2981.07	41
2983.25	44
2985.42	41
2987.59	35
2989.76	40.5
2991.93	38.5
2994.09	40
2996.26	38
2998.43	34
3000.6	33
3002.76	35
3004.93	37
3007.09	34
3009.25	38
3011.42	35
3013.58	29
3015.74	37
3017.9	31
3020.06	41
3022.22	32.5
3024.37	37
3026.53	44
3028.69	34.5
3030.84	33
3033	35.5
3035.15	36
3037.31	35
3039.46	36
3041.61	33.5
3043.76	35
3045.91	36
3048.06	37
3050.21	37.5
3052.36	37
3054.51	33
3056.66	33.5
3058.8	35.5
3060.95	35.5
3063.09	32.5
3065.24	34.5
3067.38	32.5
3069.52	36
3071.66	36
3073.81	38.5
3075.94	30
3078.08	32.5
3080.22	35
3082.36	32.5
3084.5	35
3086.64	34
3088.77	31.5
3090.91	31
3093.04	26
3095.18	37.5
3097.31	36.5
3099.44	33
3101.57	33
3103.7	38
3105.83	36.5
3107.96	32.5
3110.09	35
3112.22	25
3114.35	29.5
3116.47	30
3118.6	32.5
3120.72	30.5
3122.85	33.5
3124.97	29
3127.09	30
3129.22	34
3131.34	26
3133.46	34
3135.58	32
3137.7	31
3139.82	34
3141.93	32
3144.05	31
3146.17	34
3148.28	33
3150.4	32
3152.51	32
3154.62	29.5
3156.74	29
3158.85	33
3160.96	33
3163.07	34.5
3165.18	33
3167.29	32
3169.4	37.5
3171.51	34
3173.61	38
3175.72	33
3177.82	33.5
3179.93	31
3182.03	33
3184.14	35
3186.24	34
3188.34	34.5
3190.44	37
3192.54	41.5
3194.64	31
3196.74	36
3198.84	24
