902.494	481.5
905.376	470
908.259	501
911.14	499
914.022	491
916.9	518
919.78	522
922.657	548
925.535	555
928.41	642
931.284	784
934.159	1013
937.031	1311
939.903	1590
942.773	1928
945.645	2205
948.513	2256
951.381	2265
954.247	2266
957.113	2259
959.978	2256
962.842	2273
965.705	2317
968.567	2330.5
971.427	2352
974.287	2338
977.146	2343
980.005	2391
982.862	2368.5
985.717	2319.5
988.572	2211
991.425	2109
994.279	1777.5
997.132	1524
999.982	1253.5
1002.83	1027
1005.68	952
1008.53	850
1011.38	806.5
1014.22	739
1017.07	661
1019.91	617
1022.76	606
1025.6	561
1028.44	484
1031.28	466
1034.12	429.5
1036.96	384
1039.79	342
1042.63	294
1045.47	261
1048.3	238
1051.13	255
1053.97	223
1056.8	238
1059.63	231.5
1062.46	234.5
1065.29	211
1068.11	231.5
1070.94	223.5
1073.77	231.5
1076.59	237.5
1079.42	231
1082.24	224.5
1085.06	248.5
1087.88	254
1090.7	248
1093.52	240
1096.34	238
1099.15	231
1101.97	235
1104.78	247.5
1107.6	228.5
1110.41	238
1113.22	241
1116.03	239
1118.84	233
1121.65	227.5
1124.46	226.5
1127.27	218
1130.08	221
1132.88	219
1135.69	209.5
1138.49	204
1141.29	227
1144.09	222
1146.89	210
1149.69	211.5
1152.49	220
1155.29	229
1158.08	215.5
1160.88	203.5
1163.68	197
1166.47	184
1169.26	193
1172.05	187
1174.85	209.5
1177.63	204.5
1180.42	226
1183.21	205.5
1186	208.5
1188.78	196.5
1191.57	202
1194.35	213.5
1197.14	208.5
1199.92	213.5
1202.7	215.5
1205.48	195
1208.26	219.5
1211.04	224.5
1213.82	228
1216.59	229.5
1219.37	244
1222.14	257
1224.92	239
1227.69	230
1230.46	209.5
1233.23	205.5
1236	231.5
1238.77	226.5
1241.54	228
1244.31	219.5
1247.07	251.5
1249.84	238
1252.6	228.5
1255.36	238.5
1258.13	229
1260.89	224.5
1263.65	235
1266.41	220
1269.17	220
1271.92	225
1274.68	240
1277.43	239
1280.19	250.5
1282.94	258
1285.69	273
1288.45	261.5
1291.2	269
1293.95	284.5
1296.7	271
1299.44	284
1302.19	276
1304.94	260.5
1307.68	265.5
1310.43	284.5
1313.17	296
1315.91	300
1318.65	304
1321.39	335
1324.13	370
1326.87	402
1329.61	440.5
1332.35	504.5
1335.08	591
1337.82	731
1340.55	829
